date;dY_prod;dY_inc;dY;dhours;dLP;dk;dLQ_BLS_interpolated;dLQ_Aaronson_Sullivan;dLQ;alpha;dtfp;dutil;dtfp_util;relativePrice;invShare;dtfp_I;dtfp_C;du_invest;du_consumption;dtfp_I_util;dtfp_C_util
1986:Q3;4.23;2.52;3.37;2.14;1.23;3.71;0.34;0.27;0.27;0.31;0.56;0.17;0.38;-2.53;0.25;-1.35;1.18;2.05;-0.44;-3.4;1.62
1986:Q4;1.95;3.24;2.6;2.92;-0.32;3.09;0.32;1;1;0.31;-1.06;-0.08;-0.98;-0.33;0.25;-1.31;-0.98;-0.71;0.13;-0.6;-1.11
1987:Q1;3.11;4.61;3.86;4.78;-0.92;2.89;0.3;1.12;1.12;0.31;-1.09;3.25;-4.34;-0.13;0.23;-1.19;-1.06;6.19;2.36;-7.38;-3.42
1987:Q2;4.8;7.46;6.13;2.48;3.65;3.16;0.36;-1.58;-1.58;0.32;4.51;0.2;4.32;1.36;0.24;5.55;4.19;-2.87;1.15;8.43;3.04
1987:Q3;3;6.02;4.51;2.5;2.01;3.62;0.43;0.49;0.49;0.32;1.32;-0.01;1.32;2.5;0.24;3.21;0.71;-1.5;0.47;4.71;0.24
1987:Q4;7.58;5.64;6.61;4.06;2.55;4.12;0.49;1.17;1.17;0.32;1.73;1.13;0.61;-1.45;0.23;0.63;2.07;3.59;0.38;-2.97;1.69
1988:Q1;1.49;4.98;3.24;0.29;2.95;4.49;0.55;0.06;0.06;0.32;1.57;-4.16;5.74;3.09;0.24;3.92;0.83;-3.6;-4.34;7.52;5.17
1988:Q2;6.02;5.17;5.59;5.39;0.2;4.15;0.5;0.7;0.7;0.32;0.12;-1.02;1.14;2.1;0.24;1.72;-0.38;1.65;-1.86;0.06;1.47
1988:Q3;2.05;3.7;2.87;0.76;2.12;4.19;0.46;-0.13;-0.13;0.32;1.11;-0.47;1.58;4.33;0.24;4.43;0.1;-1.34;-0.2;5.76;0.3
1988:Q4;5.49;5.65;5.57;4.67;0.9;4.06;0.41;0.59;0.59;0.32;0.69;0.66;0.03;0.06;0.24;0.74;0.68;2.76;0.01;-2.02;0.67
1989:Q1;4.62;2.52;3.57;3.82;-0.26;4.03;0.37;0.85;0.85;0.32;-0.9;0.43;-1.33;2.39;0.23;0.93;-1.46;3.08;-0.38;-2.15;-1.08
1989:Q2;2.98;-1.89;0.55;1.02;-0.47;3.89;0.46;2.46;2.46;0.32;-3.07;-1.04;-2.02;4.92;0.23;0.7;-4.22;-7.94;1.08;8.64;-5.3
1989:Q3;2.98;1.27;2.13;1.42;0.71;3.74;0.55;-0.04;-0.04;0.32;0;-2.2;2.2;1.32;0.24;1;-0.31;-7.16;-0.65;8.17;0.34
1989:Q4;0.22;-0.24;-0.01;-0.1;0.09;3.54;0.65;0.29;0.29;0.31;-1.25;-0.35;-0.9;0.91;0.23;-0.56;-1.46;-0.82;-0.2;0.27;-1.26
1990:Q1;4.68;3.96;4.32;0.64;3.68;3.08;0.74;0.37;0.37;0.31;2.67;1.81;0.86;3.07;0.23;5.02;1.95;0.35;2.25;4.67;-0.3
1990:Q2;1.12;2.09;1.6;-2.05;3.65;3.29;0.71;0.29;0.29;0.31;1.8;1.22;0.59;3.88;0.23;4.8;0.92;3.82;0.45;0.98;0.47
1990:Q3;-0.46;-1.22;-0.84;-2.45;1.6;3.3;0.68;1.85;1.85;0.31;-1.44;-1.56;0.12;2.05;0.23;0.14;-1.91;-0.99;-1.73;1.13;-0.17
1990:Q4;-5.33;-2.99;-4.16;-1.07;-3.09;3.37;0.65;0.05;0.05;0.31;-4.5;-4.03;-0.47;1.52;0.22;-3.32;-4.84;-11.16;-1.97;7.84;-2.87
1991:Q1;-3.05;-1.69;-2.37;-3.96;1.59;3.41;0.62;1.98;1.98;0.31;-2.06;-3.65;1.59;-0.35;0.22;-2.33;-1.98;-9;-2.14;6.67;0.15
1991:Q2;3.95;1.37;2.66;-2.49;5.15;2.64;0.71;0.08;0.08;0.31;3.5;0.92;2.58;1.87;0.22;4.96;3.09;6.17;-0.56;-1.22;3.64
1991:Q3;2.41;1.21;1.81;-0.33;2.14;2.22;0.79;-0.06;-0.06;0.31;1.39;2.13;-0.74;2.54;0.22;3.37;0.84;9.88;-0.04;-6.51;0.88
1991:Q4;1.52;1.49;1.5;-0.88;2.38;1.97;0.88;2.01;2.01;0.31;0.11;0.85;-0.74;1.56;0.22;1.33;-0.23;-1.46;1.49;2.79;-1.71
1992:Q1;6.1;8.84;7.47;-2.59;10.07;1.87;0.96;-1.44;-1.44;0.31;9.7;-0.58;10.28;1.3;0.22;10.72;9.42;-2.15;-0.15;12.87;9.57
1992:Q2;5.02;3.7;4.36;2.08;2.28;1.92;0.88;0.53;0.53;0.3;1.95;3.33;-1.37;2.12;0.22;3.61;1.49;7.72;2.09;-4.12;-0.6
1992:Q3;4.33;0.78;2.56;0.52;2.04;2.61;0.79;1.09;1.09;0.3;0.64;0.07;0.57;2.19;0.22;2.35;0.16;-1.23;0.44;3.58;-0.28
1992:Q4;4.77;4.26;4.51;2.5;2.01;2.96;0.71;1.66;1.66;0.3;0.71;1.45;-0.74;3.74;0.22;3.62;-0.12;1.05;1.56;2.57;-1.68
1993:Q1;-0.27;-3.05;-1.66;2.95;-4.6;3.37;0.63;0.41;0.41;0.3;-5.02;2.17;-7.19;3.65;0.22;-2.18;-5.83;7.67;0.6;-9.85;-6.43
1993:Q2;2.48;5.79;4.14;4.18;-0.04;3.33;0.59;0.03;0.03;0.31;0.2;2.19;-1.99;2.25;0.23;1.94;-0.31;5.08;1.34;-3.15;-1.66
